Characteristic,Sex,Race/ethnicity,Age,Year,"Rate (per 1,000 children)",Notes
"Total - Female, Ages 1–3",Female,,  1–3,2011,12.8,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 1–3",Female,,  1–3,2012,12.4,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 1–3",Female,,  1–3,2013,12,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 1–3",Female,,  1–3,2014,12.2,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 4–7",Female,,  4–7,1998,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,1999,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2000,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2001,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2002,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2003,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2004,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2005,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2006,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2007,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 4–7",Female,,  4–7,2008,10.8,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 4–7",Female,,  4–7,2009,10.6,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 4–7",Female,,  4–7,2010,10.7,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 4–7",Female,,  4–7,2011,10.7,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 4–7",Female,,  4–7,2012,11,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 4–7",Female,,  4–7,2013,11.1,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 4–7",Female,,  4–7,2014,11.5,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Ages 8–11",Female,, 8–11,1998,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 8–11",Female,, 8–12,1999,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 8–11",Female,, 8–13,2000,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 8–11",Female,, 8–14,2001,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 8–11",Female,, 8–15,2002,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
"Total - Female, Ages 8–11",Female,, 8–16,2003,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
