Characteristic,Sex,Age,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent
"Total - Female, Ages 6–17",Female, 6–17,,2013,20.3,0.7,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17",Female, 6–17,,2014,19.7,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2002,8.5,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2003,9,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2004,9.9,0.6,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2005,9.2,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2006,9,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2007,9.1,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2008,9.9,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2009,11,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2010,11.7,0.6,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2011,11.4,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2012,12.1,0.7,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2013,10.7,0.7,"Data are based on the Current Population Survey (CPS) ASEC sample of 68,000 addresses. 
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. 
All of the approximately 98,000 addresses were eligible to receive the redesigned set of 
health insurance coverage questions. The redesigned income questions were implemented to 
a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses 
were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC 
and the remaining 30,000 addresses were eligible to receive the redesigned income questions. 
The source of the 2013 data for this table is the portion of the CPS ASEC sample which 
received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2013,12.6,0.7,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, White alone, non-Hispanic",Female, 6–17,"White alone, non-Hispanic",2014,11.5,0.7,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2002,29.9,1.7,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2003,31.6,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2004,31.9,1.8,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2005,33.3,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2006,30.3,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2007,31.4,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2008,30.9,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2009,33.5,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2010,36.5,1.9,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2011,37.5,1.9,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2012,37.2,1.9,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2013,36.2,2.1,"Data are based on the Current Population Survey (CPS) ASEC sample of 68,000 addresses. 
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. 
All of the approximately 98,000 addresses were eligible to receive the redesigned set of 
health insurance coverage questions. The redesigned income questions were implemented to 
a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses 
were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC 
and the remaining 30,000 addresses were eligible to receive the redesigned income questions. 
The source of the 2013 data for this table is the portion of the CPS ASEC sample which 
received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2013,30.4,2,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, Black or African American alone, non-Hispanic",Female, 6–17,"Black or African American alone, non-Hispanic",2014,35.1,2.1,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2002,12.1,2.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2003,13.5,2.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2004,11.8,2.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2005,11.9,2.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2006,14,2.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2007,13.7,2.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2008,16.7,2.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2009,14.9,2.4,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2010,14,2.4,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2011,14.4,2.4,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2012,14.5,2.4,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2013,9.7,2.2,"Data are based on the Current Population Survey (CPS) ASEC sample of 68,000 addresses. 
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. 
All of the approximately 98,000 addresses were eligible to receive the redesigned set of 
health insurance coverage questions. The redesigned income questions were implemented to 
a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses 
were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC 
and the remaining 30,000 addresses were eligible to receive the redesigned income questions. 
The source of the 2013 data for this table is the portion of the CPS ASEC sample which 
received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2013,16.2,2.6,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, Asian alone, non-Hispanic",Female, 6–17,"Asian alone, non-Hispanic",2014,12.6,2.4,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2002,18.2,3.2,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2003,21.2,3.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2004,20.9,3.3,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2005,19.6,3.2,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2006,22.1,3.2,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2007,16.9,2.9,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2008,19.4,3.1,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2009,23.2,2.9,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Female, Ages 6–17, Other, non-Hispanic",Female, 6–17,"Other, non-Hispanic",2010,22.6,2.9,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
