Characteristic,Sex,Race/ethnicity,Year,Percentage,Count,Margin of Error on Percentages (for standard error divide by 1.645),Note
"Total - Living alone, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2014,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2015,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001, 31.3 ,45,17.3,
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,28.0,40,12.1,
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2014,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2015,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2003,100,1132,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2004,100,1096,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2005,100,1092,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2006,100,1128,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2007,100,1204,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2008,100,1134,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2009,100,1080,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2010,100,1173,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2011,100,1546,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2012,100,1524,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2013,100,1570,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2014,100,1599,,
"Total - Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2015,100,1626,,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2003,45.0,510,4.7,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2004,51.9,569,4.8,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2005,54.2,592,4.8,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2006,52.0,586,4.8,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2007,56.3,678,4.6,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2008,54.3,616,4.7,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2009,53.8,582,4.9,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2010,51.7,607,4.7,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2011,47.9,741,4.1,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2012,52.2,795,4.1,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2013,54.1,850,4.0,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2014,52.0,832,6.6,
"Total - Child of householder, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2015,55.0,894,4.4,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2003,8.7,99,2.7,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2004,10.6,116,3.0,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2005,7.9,87,2.6,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2006,7.2,82,2.5,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2007,6.8,81,2.3,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2008,7.3,83,2.5,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2009,9.6,103,2.9,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2010,7.6,89,2.5,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2011,7.8,120,2.2,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2012,6.7,102,2.1,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2013,5.1,80,1.8,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2014,5.9,94,3.1,
"Total - Living with a spouse, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2015,3.6,59,1.6,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
