Characteristic,Race/ethnicity,Sex,Parents,Year,Percentage,Margin of Error on Percentages,Note
"Total - Asian-alone, non-Hispanic, Female, Two married parents","Asian and Pacific Islander, non-Hispanic",Female,Two married parents,2008,82.6,3.2,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Two married parents","Asian and Pacific Islander, non-Hispanic",Female,Two married parents,2009,84.6,3.0,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Two married parents","Asian and Pacific Islander, non-Hispanic",Female,Two married parents,2010,83.5,3.5,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Two married parents","Asian and Pacific Islander, non-Hispanic",Female,Two married parents,2011,85.5,2.8,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Two married parents","Asian and Pacific Islander, non-Hispanic",Female,Two married parents,2012,82.4,3.0,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Two married parents","Asian and Pacific Islander, non-Hispanic",Female,Two married parents,2013,84.2,2.9,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Two married parents","Asian and Pacific Islander, non-Hispanic",Female,Two married parents,2014,84.1,4.6,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Two married parents","Asian and Pacific Islander, non-Hispanic",Female,Two married parents,2015,83.6,3.1,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2001,,,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2002,,,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2003,11.4,3,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2004,12.3,2.9,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2005,10,2.6,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2006,10,2.6,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2007,9.9,2.5,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2008,11.2,2.7,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2009,9.5,2.5,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
"Total - Asian-alone, non-Hispanic, Female, Mother only","Asian and Pacific Islander, non-Hispanic",Female,Mother only,2010,9.9,2.8,"Beginning with March 2001, data are from the expanded CPS sample and use population controls based on Census 2000. 
Prior to 2007, CPS data identified only one parent on the child’s record. This meant that a second parent could only be identified if they 
were married to the first parent. In 2007, a second parent identifier was added to the CPS. This permits identification of two 
coresident parents, even if the parents are not married to each other. In this table, for 2007-2013, “two parents” reflects all 
children who have both a mother and father identified in the household, including biological, step, and adoptive parents. Before 2007, 
“mother only” and “father only” included some children who lived with two unmarried parents. Beginning in 2007, “mother only” and 
“father only” refer to children for whom only one parent in the household has been identified, whether biological, step, or adoptive. 
From 2001 to 2002, following the 1977 Office of Management and Budget (OMB) standards for collecting and presenting data on race, the Current Population 
Survey (CPS) asked respondents to choose one race from the following: White, Black, American Indian or Alaskan Native, 
or Asian or Pacific Islander. The Census Bureau also offered an “Other” category. Beginning in 2003, following the 1997 
OMB standards for collecting and presenting data on race, the CPS asked respondents to choose one or more races from the 
following: White, Black or African American, Asian, American Indian or Alaska Native, and Native Hawaiian or Other Pacific Islander. 
All race groups discussed in this table from 2003 onward refer to people who indicated only one racial identity within the racial 
categories presented. People who responded to the question on race by indicating only one race are referred to as the race-alone population. 
The use of the race-alone population in this table does not imply that it is the preferred method of presenting or analyzing data. 
Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic origin are collected separately. 
Persons of Hispanic origin may be of any race. "
