Characteristic,Type of violent crime,Sex of head of household,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent,Count,Standard Error on Count,Note on Count
"Total - Simple assault, Male head of household, American Indian or Alaska Native, non-Hispanic",Simple assault,Male head of household,"American Indian or Alaska Native, non-Hispanic",2014,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2000,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2001,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2002,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2003,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2004,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2005,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2006,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2007,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2008,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2009,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2010,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2011,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2012,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2013,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Asian or Pacific Islander, non-Hispanic",Simple assault,Male head of household,"Asian or Pacific Islander, non-Hispanic",2014,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2000,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2001,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2002,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Not available. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2003,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2004,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2005,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2006,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2007,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2008,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2009,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2010,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2011,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2012,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2013,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Male head of household, Two or more races, non-Hispanic",Simple assault,Male head of household,"Two or more races, non-Hispanic",2014,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,,,Reporting standards not met. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2000,6.1,0.64,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1088820,125410.6713,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2001,5.6,0.55,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1039180,111089.0341,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2002,5.7,0.65,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1092530,134918.8744,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2003,5.2,0.56,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1033820,121126.2986,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2004,4.6,0.47,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,933310,100868.7751,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2005,4.6,0.51,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,997570,118599.5009,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2006,4.5,0.48,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,1041910,117703.8018,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2007,3.9,0.46,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,877300,111807.1140,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2008,4.2,0.51,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,971160,124518.6938,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2009,4.2,0.55,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,956250,134545.9929,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2010,2.9,0.42,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,662580,100696.2179,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2011,3.3,0.41,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,757750,99004.6944,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2012,3.6,0.4,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,804940,94565.9379,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2013,3.3,0.47,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,702780,107066.7377,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, White, non-Hispanic",Simple assault,Female head of household,"White, non-Hispanic",2014,2.8,0.39,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,582910,84477.2692,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2000,6,0.83,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,426640,65559.0208,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2001,4.5,0.65,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,348400,53512.3197,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2002,3.8,0.65,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,303380,54906.1624,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2003,4.3,0.68,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,309240,53212.1982,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2004,3.7,0.58,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,270660,44887.3157,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2005,2.4,0.5,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,167780,36348.0379,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2006,5.2,0.77,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,361910,58149.3730,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2007,4.4,0.67,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,300770,51099.8599,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2008,4,0.76,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,268620,54270.6373,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2009,4.3,0.84,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,274810,57520.0085,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2010,4.5,0.79,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,309950,59029.8410,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2011,2.9,0.56,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,194650,39087.4979,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2012,5,0.75,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,342450,54579.8580,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2013,3.5,0.69,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,227850,48499.2411,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Black, non-Hispanic",Simple assault,Female head of household,"Black, non-Hispanic",2014,2.2,0.48,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,141560,33199.2408,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Hispanic",Simple assault,Female head of household,Hispanic,2000,5.5,0.87,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,291850,50555.5830,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
"Total - Simple assault, Female head of household, Hispanic",Simple assault,Female head of household,Hispanic,2001,4.7,0.75,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.,255980,43730.7393,Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.
